VAA20

Projekt-ID	729893
URL der Umfrage	https://ww2.unipark.de/uc/mauve_Heinrich-Heine-Universit__/dec0/
Datum	09.12.2020 10:46:21

1 Seite: System (PGID 4650162)


3 Seite: Politisches Interesse 1 (PGID 4822338)

Wie sehr stimmen Sie folgenden Aussagen zu? (q_8841496 - Typ 311)
v_40	v_40	int	… Thesen als besonders wichtig markieren zu können.
		1	überhaupt nicht nützlich
		2	 
		3	 
		4	 
		5	sehr nützlich
			^ Ausblenden wenn : (v_33 = '4')
v_41	v_41	int	… Argumente als besonders wichtig markieren zu können.
		1	überhaupt nicht nützlich
		2	 
		3	 
		4	 
		5	sehr nützlich
			^ Ausblenden wenn : (v_34 = '4' or check_character_filter['vaa', v_84])
v_76	v_76	int	… Begründungen zu einem Argument sehen zu können („mehr …“).
		1	überhaupt nicht nützlich
		2	 
		3	 
		4	 
		5	sehr nützlich
			^ Ausblenden wenn : (v_75 = '4' or check_character_filter['vaa', v_84])
v_94	v_94	int	… Argumente zu einer These sehen zu können.
		1	überhaupt nicht nützlich
		2	 
		3	 
		4	 
		5	sehr nützlich
			^ Ausblenden wenn : (check_character_filter['vaa', v_84])



13 Seite: Schwierigkeit (PGID 4650394)

Wie schwierig waren für Sie folgende Aufgaben?  (q_8522319 - Typ 311)
v_42	v_42	int	zu den Thesen meine Meinung (stimme zu, neutral, stimme nicht zu) angeben
		1	sehr schwierig
		2	 
		3	 
		4	 
		5	sehr einfach
v_43	v_43	int	Argumenten zustimmen/ablehnen
		1	sehr schwierig
		2	 
		3	 
		4	 
		5	sehr einfach
			^ Ausblenden wenn : (v_34 = '4' or check_character_filter['vaa', v_84])
v_44	v_44	int	eine These als besonders wichtig markieren
		1	sehr schwierig
		2	 
		3	 
		4	 
		5	sehr einfach
			^ Ausblenden wenn : (v_33 = '4')
v_45	v_45	int	ein Argument als besonders wichtig markieren
		1	sehr schwierig
		2	 
		3	 
		4	 
		5	sehr einfach
			^ Ausblenden wenn : (v_34 = '4' or check_character_filter['vaa', v_84])



14 Seite: Politisches Interesse (PGID 4822331)

Wie sehr stimmen Sie folgenden Aussagen zu? (q_8841490 - Typ 311)
v_95	v_95	int	Ich interessiere mich im Allgemeinen für Politik.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu
v_96	v_96	int	Ich informiere mich über politische Themen.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu
v_97	v_97	int	Wichtige politische Fragen kann ich gut verstehen und einschätzen.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu



15 Seite: Informiertheit (PGID 4679858)

Wie sehr stimmen Sie folgenden Aussagen zu? (q_8522463 - Typ 311)
v_47	v_47	int	Durch die Benutzung von ArgVote bin ich auf politische Themen aufmerksam geworden.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu
v_48	v_48	int	Nach der Benutzung von ArgVote ist mir der Unterschied zwischen den Parteien klarer.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu
v_49	v_49	int	Klicken Sie auf "stimme voll und ganz zu"
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu
v_85	v_85	int	Durch die Benutzung von ArgVote habe ich manche politische Themen besser verstanden.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu
v_91	v_91	int	Nach dem Benutzen von ArgVote ist mir klarer, warum es unterschiedliche Meinungen zu bestimmten Thesen gibt.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu



15.1 Seite: Qualityfail: Lesen (PGID 4650510)

Filter
 	 v_49 Klicken Sie auf "stimme voll und ganz zu"	 Wie sehr stimmen Sie folgenden Aussagen zu? - Klicken Sie auf "stimme voll und ganz zu" 	kleiner	5


16 Seite: Usability (PGID 4650456)

Wie sehr stimmen Sie folgenden Aussagen zu? (q_8522473 - Typ 311)
v_52	v_52	int	ArgVote wirkte auf mich überladen.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu
v_53	v_53	int	ArgVote war selbsterklärend.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu
v_55	v_55	int	Ich habe nicht verstanden, wie ArgVote funktioniert.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu
v_67	v_67	int	Ich hatte keine Probleme in ArgVote zu navigieren.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu
v_92	v_92	int	Ich würde ArgVote wieder benutzen.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu
v_93	v_93	int	Die Benutzung von ArgVote hat mir Spaß gemacht.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu


Ich habe folgende Anmerkungen zu ArgVote: (q_8522484 - Typ 142)
v_56	v_56	blob	Vorschläge



17 Seite: Parteineigung 2 (PGID 4650473)

Was halten Sie von den einzelnen politischen Parteien? Was halten Sie von der … (q_8522499 - Typ 311)
v_57	v_57	int	CDU/CSU
		1	überhaupt nichts
		2	 
		3	 
		4	 
		5	 
		6	 
		7	 
		8	 
		9	 
		10	sehr viel
v_59	v_59	int	SPD
		1	überhaupt nichts
		2	 
		3	 
		4	 
		5	 
		6	 
		7	 
		8	 
		9	 
		10	sehr viel
v_60	v_60	int	Die Linke
		1	überhaupt nichts
		2	 
		3	 
		4	 
		5	 
		6	 
		7	 
		8	 
		9	 
		10	sehr viel
v_61	v_61	int	FDP
		1	überhaupt nichts
		2	 
		3	 
		4	 
		5	 
		6	 
		7	 
		8	 
		9	 
		10	sehr viel
v_62	v_62	int	AfD
		1	überhaupt nichts
		2	 
		3	 
		4	 
		5	 
		6	 
		7	 
		8	 
		9	 
		10	sehr viel
v_63	v_63	int	Bündnis 90/Die Grünen
		1	überhaupt nichts
		2	 
		3	 
		4	 
		5	 
		6	 
		7	 
		8	 
		9	 
		10	sehr viel



18 Seite: Persönliche Angaben (PGID 4650290)

Welches Geschlecht haben Sie? (q_8522062 - Typ 111)
v_23	v_23	int	Geschlecht
		1	männlich
		2	weiblich
		3	divers
		4	anderes, und zwar:
v_24	v_24	varchar	anderes, und zwar:


Wie alt sind Sie? (q_8522064 - Typ 141)
v_25	v_25	varchar (mit Typencheck: Ganzzahl)	Alter


Welches ist Ihr höchster Bildungsabschluss? (q_8522073 - Typ 111)
v_26	v_26	int	Bildung
		1	Schule beendet ohne Abschluss
		2	Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse
		3	Mittlere Reife, Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse
		4	Fachhochschulreife (Abschluss einer Fachoberschule etc.)
		5	Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife)
		6	Hochschul- oder Fachhochschulabschluss
		7	Ich habe noch keinen Bildungsabschluss, bin aber noch in der Schule



19 Seite: Verlosung (PGID 4800600)

Trigger
Mailtrigger - Gewinnspiel-Teilnahme - Bedingung:  - Ausführungsposition: nach dem Abschicken, vor Filtern
Rekodierungstrigger - Mailadressentfernung - Bedingung:  - Ausführungsposition: nach dem Abschicken, vor Filtern

E-Mailadresse (q_8800945 - Typ 141)
v_83	v_83	varchar (mit Typencheck: E-Mail-Adresse)	Mail


Surveyvariablen
